"ECO.SITE","PLOTS","STATETRANSITION.PRODUCTION","ASSOCIATED.SITES","QUANTITATIVE.BENCHMARKS","ESD.NAME","NOTES"
"R034BY006UT",27,"DONE","DONE","DONE","Alkali Flat (Greasewood)",NA
"R036XY325CO",11,"DONE","DONE","DONE","Semidesert Loam",NA
"R036XY114CO",10,"DONE","DONE","DONE","Mountain Pinyon",NA
"R036XY113CO",9,"DONE","DONE","DONE","Semidesert Juniper Loam",NA
"R036XY284CO",8,"DONE","DONE","DONE","Loamy Foothills",NA
"R034BY109UT",7,"DONE","DONE","DONE","Desert Loamy Clay (Shadscale)",NA
"R034BY106UT",6,"DONE","NONE LISTED","DONE","Desert Loam (Shadscale)",NA
"R034BY117UT",4,"DONE","DONE","DONE","Desert Shallow Clay (Mat Saltbush)",NA
"R036XY287CO",4,"DONE","DONE","DONE","Stony Foothills",NA
"R034BY104UT",3,"DONE","DONE","DONE","Desert Clay (Shadscale)",NA
"R034BY410CO",3,"NOT FOUND","NOT FOUND","NOT FOUND",NA,NA
"F048AY918CO",2,"NOT WRITTEN","NOT WRITTEN","NOT WRITTEN","Spruce-Fir Woodland ",NA
"R034BY322UT",2,"DONE","DONE","DONE","Upland Shallow Loam (Two-Needle Pinyon/ Utah Juniper)",NA
"R034BY402CO",2,"NOT FOUND","NOT FOUND","NOT FOUND",NA,NA
"R034XY401CO",2,"NOT FOUND","NOT FOUND","NOT FOUND","Loamy Saltdesert",NA
"R034XY404CO",2,"NOT FOUND","NOT FOUND","NOT FOUND","Stony Saltdesert ",NA
"R048AY238CO",2,"NOT FOUND","NOT FOUND","NOT FOUND","Brushy Loam",NA
"F048AY449CO",1,"NOT WRITTEN","NOT WRITTEN","NOT WRITTEN","Aspen Woodland ",NA
"F048AY499CO",1,"NOT FOUND","NOT FOUND","NOT FOUND",NA,NA
"R034BY006UT",1,"DONE","NONE LISTED","DONE","Alkali Flat (Greasewood)",NA
"R034BY112UT",1,"DONE","DONE","DONE","Desert Sand (Fourwing Saltbush)",NA
"R034BY302UT",1,"NONE","DONE","DONE","Upland Clay (Western Wheatgrass)",NA
"R034BY403CO",1,"NOT FOUND","NOT FOUND","NOT FOUND","Clayey Saltdesert",NA
"R034XY410CO",1,"NOT FOUND","NOT FOUND","NOT FOUND","Silty Saltdesert",NA
"R035XY325CO",1,"NOT FOUND","NOT FOUND","NOT FOUND",NA,NA
"R036XY111CO",1,"DONE","DONE","DONE","Steep Shallow Clay Loam (Pinyon-Utah Juniper)",NA
"R036XY289CO",1,"DONE","DONE","DONE","Clayey Foothills ",NA
"R036XY326CO",1,"DONE","DONE","DONE","Semidesert Sandy Loam",NA
"R042XB036NM",1,"DONE","DONE","DONE",NA,NA
"R048AY228CO",1,"NOT WRITTEN","NOT WRITTEN","NOT WRITTEN","Mountain Loam",NA
"R048AY229CO",1,"NOT WRITTEN","NOT WRITTEN","NOT WRITTEN","Rocky Loam",NA
"R048AY247CO",1,"NOT WRITTEN","NOT WRITTEN","NOT WRITTEN","Deep Clay Loam ",NA
"R048AY322UT",1,"NOT WRITTEN","NOT WRITTEN","NOT WRITTEN","Upland Stony Loam (Basin Big Sagebrush-Saline Wildrye)",NA
"R048AY379CO",1,"NOT WRITTEN","NOT WRITTEN","NOT WRITTEN","Brushy Slopes ",NA
"R035XY413CO",0,"NOT FOUND","NOT FOUND","NOT FOUND","Alkali Bottom",NA
"R036XY110CO",0,"DONE","DONE","DONE","Shallow Clay Loam (Pinyon-Utah Juniper)",NA
"R036XY328CO",0,"DONE","DONE","DONE","Semidesert Clay Loam",NA
