"","ESD.CODE","STATE","PHASE","PHASE.NAME","FUNCTIONAL","SYMBOL","Lower","Upper"
"1","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","GRASS","ACHY",30,120
"2","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","GRASS","PLJA",60,120
"3","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","GRASS","HENE5",0,90
"4","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","GRASS","BOGR2",30,60
"5","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","GRASS","ELELE",30,60
"6","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","GRASS","PASM",12,30
"7","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","GRASS","SPCR",12,30
"8","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","GRASS","ARPUL",12,30
"9","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","FORB","CANU3",0,12
"10","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","FORB","ERFL",0,12
"11","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","FORB","PANEM",0,12
"12","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","FORB","PELI2",0,12
"13","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","FORB","PENST",0,12
"14","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","FORB","SPCO",0,12
"15","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","FORB","LUAR3",0,6
"16","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","FORB","ASLE8",0,6
"17","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","SHRUB","ARTRW8",100,200
"18","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","SHRUB","ATCA2",12,30
"19","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","SHRUB","GUSA2",0,30
"20","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","SHRUB","ATCO",0,15
