"PLOT.ID","PANEL","ECO.SITE","ECO.SITE.MATCHED"
"AS-8","oversample 2018","NEED MATCHED",FALSE
"GR-21","2018","NEED MATCHED",FALSE
"MC-56","oversample 2018","NEED MATCHED",FALSE
"MC-57","oversample 2018","NEED MATCHED",FALSE
"MMS-71","2018","NEED MATCHED",FALSE
"MMS-72","2018","NEED MATCHED",FALSE
"MMS-73","2018","NEED MATCHED",FALSE
"MMS-74","2018","NEED MATCHED",FALSE
"MMS-75","2018","NEED MATCHED",FALSE
"OT-111","2018","NEED MATCHED",FALSE
"PJ-131","2018","NEED MATCHED",FALSE
"PJ-132","2018","NEED MATCHED",FALSE
"PJ-133","2018","NEED MATCHED",FALSE
"PJ-156","oversample 2018","NEED MATCHED",FALSE
"PJ-157","oversample 2018","NEED MATCHED",FALSE
"PP-171","2018","NEED MATCHED",FALSE
"RI-206","oversample 2018","NEED MATCHED",FALSE
"RI-207","oversample 2018","NEED MATCHED",FALSE
"RI-208","oversample 2018","NEED MATCHED",FALSE
"SS-221","2018","NEED MATCHED",FALSE
"SS-222","2018","NEED MATCHED",FALSE
"SS-223","2018","NEED MATCHED",FALSE
"SS-224","2018","NEED MATCHED",FALSE
"SS-225","2018","NEED MATCHED",FALSE
"SS-227","2018","NEED MATCHED",FALSE
"SS-228","2018","NEED MATCHED",FALSE
"SS-229","2018","NEED MATCHED",FALSE
"SS-230","2018","NEED MATCHED",FALSE
"SS-231","2018","NEED MATCHED",FALSE
"SS-232","2018","NEED MATCHED",FALSE
"SS-233","2018","NEED MATCHED",FALSE
"SS-234","2018","NEED MATCHED",FALSE
"SS-301","oversample 2018","NEED MATCHED",FALSE
"SS-302","oversample 2018","NEED MATCHED",FALSE
"SS-304","oversample 2018","NEED MATCHED",FALSE
"SD-323","2018","NEED MATCHED",FALSE
"SD-324","2018","NEED MATCHED",FALSE
"SD-325","2018","NEED MATCHED",FALSE
"SD-326","2018","NEED MATCHED",FALSE
"SD-327","2018","NEED MATCHED",FALSE
"SD-328","2018","NEED MATCHED",FALSE
"SD-330","2018","NEED MATCHED",FALSE
"SD-331","2018","NEED MATCHED",FALSE
"SD-332","2018","NEED MATCHED",FALSE
"SD-333","2018","NEED MATCHED",FALSE
"SD-334","2018","NEED MATCHED",FALSE
"SD-335","2018","NEED MATCHED",FALSE
"SD-396","oversample 2018","NEED MATCHED",FALSE
"SD-397","oversample 2018","NEED MATCHED",FALSE
"SD-398","oversample 2018","NEED MATCHED",FALSE
"MC-044","2019","NEED MATCHED",FALSE
"AS-002","2019","NEED MATCHED",FALSE
"GR-022","2019","R036XY114CO",TRUE
"MC-048","2020","F048AY918CO",TRUE
"MC-049","2020","R048AY238CO",TRUE
"MC-052","2021","F048AY449CO",TRUE
"MMS-076","2019","R036XY114CO",TRUE
"MMS-079","2019","R036XY289CO",TRUE
"MMS-081","2020","R048AY247CO",TRUE
"MMS-082","2020","R034BY117UT",TRUE
"MMS-085","2020","R048AY306UT",TRUE
"OT-112","2019","R034BY109UT",TRUE
"PJ-136","2019","R036XY114CO",TRUE
"PJ-137","2019","R036XY284CO",TRUE
"PJ-138","2019","R036XY113CO",TRUE
"PJ-140","2019","R035XY326CO",TRUE
"PJ-141","2020","R036XY114CO",TRUE
"PP-172","2019","R035XY408CO",TRUE
"RI-194","2019","R036XY113CO",TRUE
"RI-195","2019","NEED MATCHED",FALSE
"RI-196","2019","R036XY113CO",TRUE
"SD-329","2019","R034XY410CO",TRUE
"SD-336","2019","R034XY403CO",TRUE
"SD-337","2019","R034XY404CO",TRUE
"SD-338","2019","R034XY404CO",TRUE
"SD-339","2019","R036XY113CO",TRUE
"SD-340","2019","R034BY006UT",TRUE
"SD-341","2019","R034XY402CO",TRUE
"SD-342","2019","R035XY326CO",TRUE
"SD-343","2019","R034XY401CO",TRUE
"SD-344","2019","R034BY104UT",TRUE
"SD-347","2019","NEED MATCHED",FALSE
"SD-348","2019","R034BY109UT",TRUE
"SD-350","2019","R034BY104UT",TRUE
"SD-352","2020","R034BY109UT",TRUE
"SD-353","2020","R035XY408CO",TRUE
"SD-354","2020","R035XY408CO",TRUE
"SS-237","2019","R036XY113CO",TRUE
"SS-238","2019","R048AY247CO",TRUE
"SS-239","2019","R036XY325CO",TRUE
"SS-240","2019","R035XY315UT",TRUE
"SS-241","2019","R036XY113CO",TRUE
"SS-242 ","2019","R034XY403CO",TRUE
"SS-243","2019","R036XY113CO",TRUE
"SS-244","2019","R036XY113CO",TRUE
"SS-245","2019","R036XY114CO",TRUE
"SS-246","2019","R034XY404CO",TRUE
"SS-247","2019","R035XY326CO",TRUE
"SS-248","2019","NEED MATCHED",FALSE
"SS-250","2019","NEED MATCHED",FALSE
"SS-251","2019","NEED MATCHED",FALSE
"SS-252","2019","R035XY325CO",TRUE
"SS-253","2020","NEED MATCHED",FALSE
"SS-254","2020","NEED MATCHED",FALSE
"AS-004","2021","R048AY247CO",TRUE
"GR-023","2020","R036XY287CO",TRUE
"MC-066","oversample","F048AY918CO",TRUE
"MC-068","oversample","F048AY918CO",TRUE
"MC-070","oversample","F048AY918CO",TRUE
"MMS-083","2020","R036XY114CO",TRUE
"MMS-084","2020","R034XY403CO",TRUE
"MMS-087","2021","R036XY328CO",TRUE
"MMS-088","2021","R036XY325CO",TRUE
"MMS-089","2020","R048AY306UT",TRUE
"OT-113","2020","R036XY141CO",TRUE
"PJ-142","2020","R036XY287CO",TRUE
"PJ-143","2020","R036XY113CO",TRUE
"PJ-146","2021","R048AY238CO",TRUE
"PJ-147","2021","R036XY287CO",TRUE
"PJ-148","2021","R036XY142CO",TRUE
"PP-173","2020","R036XY114CO",TRUE
"RI-198","2020","R036XY113CO",TRUE
"RI-199","2020","R034XY401CO",TRUE
"RI-200","2021","R036XY142CO",TRUE
"SD-355","2020","R036XY325CO",TRUE
"SD-356","2020","R034BY006UT",TRUE
