"","ESD.CODE","STATE","PHASE","PHASE.NAME","FUNCTIONAL","SYMBOL","Lower","Upper","YMBOL"
"1","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","GRASS","ACHY","30","120","ACHY"
"2","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","GRASS","PLJA","60","120","PLJA"
"3","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","GRASS","HENE5","0","90","HENE5"
"4","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","GRASS","BOGR2","30","60","BOGR2"
"5","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","GRASS","ELELE","30","60","ELELE"
"6","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","GRASS","PASM","12","30","PASM"
"7","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","GRASS","SPCR","12","30","SPCR"
"8","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","GRASS","ARPUL","12","30","ARPUL"
"9","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","FORB","CANU3","0","12","CANU3"
"10","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","FORB","ERFL","0","12","ERFL"
"11","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","FORB","PANEM","0","12","PANEM"
"12","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","FORB","PELI2","0","12","PELI2"
"13","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","FORB","PENST","0","12","PENST"
"14","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","FORB","SPCO","0","12","SPCO"
"15","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","FORB","LUAR3","0","6","LUAR3"
"16","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","FORB","ASLE8","0","6","ASLE8"
"17","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","SHRUB","ARTRW8","100","200","ARTRW8"
"18","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","SHRUB","ATCA2","12","30","ATCA2"
"19","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","SHRUB","GUSA2","0","30","GUSA2"
"20","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","SHRUB","ATCO","0","15","ATCO"
"21","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","SHRUB","CHVI8","0","12","CHVI8"
"22","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","SHRUB","EPCU","0","12","EPCU"
"23","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","SHRUB","EPVI","0","12","EPVI"
"24","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","SHRUB","KRLA2","0","12","KRLA2"
"25","R036XY325CO","REFERENCE",1.1,"PERENNIAL SHRUBLAND/GRASSLAND","SHRUB","OPPO","0","12","OPPO"
"26","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","GRASS","PASM","25","80","PASM"
"27","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","GRASS","ACHY","35","80","ACHY"
"28","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","GRASS","POFE","5","40","POFE"
"29","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","GRASS","POSE","5","40","POSE"
"30","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","GRASS","SPCR","5","40","SPCR"
"31","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","GRASS","ELEL5","5","40","ELEL5"
"32","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","GRASS","HECOC8","5","40","HECOC8"
"33","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","GRASS","KOMA","5","40","KOMA"
"34","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","GRASS","LESA4","5","25","LESA4"
"35","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","GRASS","BOGR2","5","25","BOGR2"
"36","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","GRASS","CAGE2","5","25","CAGE2"
"37","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","FORB","ARLU","0","15","ARLU"
"38","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","FORB","BASA3","0","15","BASA3"
"39","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","FORB","CRFE3","0","15","CRFE3"
"40","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","FORB","ERDE6","0","15","ERDE6"
"41","R036XY114CO","REFERENCE",1.1,"PJ WOODLAND","FORB","ERST4","0","15","ERST4"
