ESD-CODE,STATE,PHASE,PHASE-NAME,VEG,NOTES
R036XY325CO,REFERENCE,1.1,PERENNIAL SHRUBLAND/GRASSLAND,ARTRW8,
R036XY325CO,REFERENCE,1.1,PERENNIAL SHRUBLAND/GRASSLAND,PG/AG,
R036XY325CO,REFERENCE,1.1,PERENNIAL SHRUBLAND/GRASSLAND,SH,
R036XY325CO,REFERENCE,1.1,PERENNIAL SHRUBLAND/GRASSLAND,PF/AF,
R036XY325CO,REFERENCE,1.2,PERENNIAL GRASSLAND,GALLETA,
R036XY325CO,REFERENCE,1.2,PERENNIAL GRASSLAND,INDIAN RICEGRASS,
R036XY325CO,REFERENCE,1.2,PERENNIAL GRASSLAND,PG/AG,
R036XY325CO,REFERENCE,1.2,PERENNIAL GRASSLAND,SH,
R036XY325CO,REFERENCE,1.2,PERENNIAL GRASSLAND,AF/PF,
R036XY325CO,REFERENCE,1.3,PERENNIAL SHRUBLAND,ARTRW8,
R036XY325CO,REFERENCE,1.3,PERENNIAL SHRUBLAND,SNAKEWEED,
R036XY325CO,REFERENCE,1.3,PERENNIAL SHRUBLAND,INDIAN RICEGRASS,
R036XY325CO,REFERENCE,1.3,PERENNIAL SHRUBLAND,GALLETA,
R036XY325CO,REFERENCE,1.3,PERENNIAL SHRUBLAND,PG/AG,
R036XY325CO,REFERENCE,1.3,PERENNIAL SHRUBLAND,SH,
R036XY325CO,REFERENCE,1.3,PERENNIAL SHRUBLAND,PF/AF,
R036XY325CO,POTENTIAL,2.1,PERENNIAL SHRUBLAND/GRASSLAND,ARTRW8,
R036XY325CO,POTENTIAL,2.1,PERENNIAL SHRUBLAND/GRASSLAND,GALLETA,
R036XY325CO,POTENTIAL,2.1,PERENNIAL SHRUBLAND/GRASSLAND,INDIAN RICEGRASS,
R036XY325CO,POTENTIAL,2.1,PERENNIAL SHRUBLAND/GRASSLAND,PG/AG,
R036XY325CO,POTENTIAL,2.1,PERENNIAL SHRUBLAND/GRASSLAND,SH,
R036XY325CO,POTENTIAL,2.1,PERENNIAL SHRUBLAND/GRASSLAND,PF/AF,
R036XY325CO,POTENTIAL,2.1,PERENNIAL SHRUBLAND/GRASSLAND,NOXIOUS,PRESENT
R036XY325CO,POTENTIAL,2.2,PERENNIAL GRASSLAND,GALLETA,
R036XY325CO,POTENTIAL,2.2,PERENNIAL GRASSLAND,INDIAN RICEGRASS,
R036XY325CO,POTENTIAL,2.2,PERENNIAL GRASSLAND,PG/AG,
R036XY325CO,POTENTIAL,2.2,PERENNIAL GRASSLAND,SH,
R036XY325CO,POTENTIAL,2.2,PERENNIAL GRASSLAND,PF/AF,
R036XY325CO,POTENTIAL,2.2,PERENNIAL GRASSLAND,NOXIOUS,PRESENT
R036XY325CO,POTENTIAL,2.3,PERENNIAL SHRUBLAND,ARTRW8,
R036XY325CO,POTENTIAL,2.3,PERENNIAL SHRUBLAND,SNAKEWEED,
R036XY325CO,POTENTIAL,2.3,PERENNIAL SHRUBLAND,INDIAN RICEGRASS,
R036XY325CO,POTENTIAL,2.3,PERENNIAL SHRUBLAND,GALLETA,
R036XY325CO,POTENTIAL,2.3,PERENNIAL SHRUBLAND,PG/AG,
R036XY325CO,POTENTIAL,2.3,PERENNIAL SHRUBLAND,SH,
R036XY325CO,POTENTIAL,2.3,PERENNIAL SHRUBLAND,PF/AF,
R036XY325CO,POTENTIAL,2.4,PJ ENCROACHED SHRULAND,ARTRW8,
R036XY325CO,POTENTIAL,2.4,PJ ENCROACHED SHRULAND,UTAH JUNIPER,
R036XY325CO,POTENTIAL,2.4,PJ ENCROACHED SHRULAND,PG/AG,
R036XY325CO,POTENTIAL,2.4,PJ ENCROACHED SHRULAND,SH,
R036XY325CO,POTENTIAL,2.4,PJ ENCROACHED SHRULAND,AG/PF,
R036XY325CO,POTENTIAL,2.4,PJ ENCROACHED SHRULAND,NOXIOUS,PRESENT
R036XY325CO,DEPAUPERATE,3.1,SHRUBLAND,ARTRW8,
R036XY325CO,DEPAUPERATE,3.1,SHRUBLAND,SNAKEWEED,
R036XY325CO,DEPAUPERATE,3.1,SHRUBLAND,PG/AG,SPARSE-ABSENT
R036XY325CO,DEPAUPERATE,3.1,SHRUBLAND,PF/AF,SPARSE-ABSENT
R036XY325CO,DEPAUPERATE,3.2,ENCROACHED SHRUBLAND,ARTRW8,
R036XY325CO,DEPAUPERATE,3.2,ENCROACHED SHRUBLAND,UTAH JUNIPER,
R036XY325CO,DEPAUPERATE,3.2,ENCROACHED SHRUBLAND,PG,SPARSE-ABSENT
R036XY325CO,DEPAUPERATE,3.2,ENCROACHED SHRUBLAND,PF/AF,SPARSE-ABSENT
R036XY325CO,JUNIPER ENCHROACHMENT,4.1,JUNIPER ENCHROACHMENT,UTAH JUNIPER,
