Plot ID,Panel,Plot Status,Administrative State,Project Office,Design Stratum,Project Contact Name,Comments,Rejection Criteria,Rejection Criteria Comments,Actual Stratum,Project,Random or Targeted,Revisit,Original Plot ID If Revisit,Date Originally Visited If Revisit,Moved,Move Comments,Date Visited,Actual Latitude Y,Actual Longitude X,Ecological Site
AS-1,2018,Rejected,CO,UNCOMPAHGRE FIELD OFFICE,Aspen,Ken Holsinger,,Office - Slope > 50%,"Using Google Earth and DEM, determined slope was ~68%",,,,,,,,,,,,NA
AS-6,OverSample 2018,Rejected,CO,UNCOMPAHGRE FIELD OFFICE,Aspen,Ken Holsinger,,Field - Access Denied,Locked gate. Attempted to contact landowner but not listed anywhere. Called their lawyer. No answer,,,,,,,,,,,,NA
AS-7,OverSample 2018,Rejected,CO,UNCOMPAHGRE FIELD OFFICE,Aspen,Ken Holsinger,,Field - Slope > 50%,"Unable to reach plot center due to steep, loose slopes",,,,,,,,,,,,NA
AS-8,OverSample 2018,Sampled,CO,UNCOMPAHGRE FIELD OFFICE,Aspen,Ken Holsinger,,,,Mixed Mountain Shrub with Pinyon Juniper Woodland,Terrestrial AIM ,Random - NOC or SHINY generated design,NO,,,NO,,9/10/2018,38.87089,-108.15863,Need To find 2018 Ecosites
GR-21,2018,Sampled,CO,UNCOMPAHGRE FIELD OFFICE,Grassland,Ken Holsinger,,,,Pinyon Juniper Woodland or Mixed Mountain Shrub,Terrestrial AIM ,Random - NOC or SHINY generated design,NO,,,NO,,6/14/2018,38.36678,-108.57239,R036XY114CO
GR-26,OverSample 2018,Not Sampled,CO,UNCOMPAHGRE FIELD OFFICE,Grassland,Ken Holsinger,,,,,,,,,,,,,,,NA
GR-27,OverSample 2018,Not Sampled,CO,UNCOMPAHGRE FIELD OFFICE,Grassland,Ken Holsinger,,,,,,,,,,,,,,,NA
GR-28,OverSample 2018,Not Sampled,CO,UNCOMPAHGRE FIELD OFFICE,Grassland,Ken Holsinger,,,,,,,,,,,,,,,NA
MC-41,2018,Rejected,CO,UNCOMPAHGRE FIELD OFFICE,Mixed Conifer,Ken Holsinger,,Field - Slope > 50%,Unable to move 50 meters in any direction,,,,,,,,,,,,NA
MC-42,2018,Rejected,CO,UNCOMPAHGRE FIELD OFFICE,Mixed Conifer,Ken Holsinger,,Field - Slope > 50%,Unable to move 50 meters in any direction,,,,,,,,,,,,NA
MC-43,2018,Rejected,CO,UNCOMPAHGRE FIELD OFFICE,Mixed Conifer,Ken Holsinger,,Field - Slope > 50%,Unable to move 50 meters in any direction,,,,,,,,,,,,NA
